name,unit,category,brand,stock,status,image
Gaming Keyboard RGB,pcs,Electronics,GameTech,75,In Stock,https://images.unsplash.com/photo-1595225476474-87563907a212?w=400
Ergonomic Mouse Pad,pcs,Electronics,ComfortTech,150,In Stock,https://images.unsplash.com/photo-1527814050087-3793815479db?w=400
Standing Desk,pcs,Furniture,WorkPro,12,In Stock,https://images.unsplash.com/photo-1595515106969-1ce29566ff1c?w=400
LED Monitor 27inch,pcs,Electronics,ViewMaster,34,In Stock,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400
Wireless Headphones,pcs,Electronics,SoundWave,0,Out of Stock,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400
Yoga Mat Premium,pcs,Sports,FitLife,89,In Stock,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400
Protein Powder 2kg,kg,Food,HealthPlus,45,In Stock,https://images.unsplash.com/photo-1593095948071-474c5cc2989d?w=400
Business Backpack,pcs,Clothing,TravelGear,23,In Stock,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400
Smart Watch Pro,pcs,Electronics,TechWear,0,Out of Stock,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400
Coffee Beans 1kg,kg,Food,BrewMaster,156,In Stock,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400
